Protein IDs	Majority protein IDs	Fasta headers	Peptides	Razor + unique peptides	Unique peptides	LFQ intensity L_1312	LFQ intensity L_1313	LFQ intensity L_1326	LFQ intensity L_1331	LFQ intensity L_1488	LFQ intensity L_1492	LFQ intensity L_1503	LFQ intensity L_1506	LFQ intensity P_1311	LFQ intensity P_1315	LFQ intensity P_1316	LFQ intensity P_1317	LFQ intensity P_1323	LFQ intensity P_1497	LFQ intensity P_1501	LFQ intensity P_1502	LFQ intensity P_1505	Only identified by site	Reverse	Potential contaminant	gene_name	alt_gene_names	bp_annotation	bp_annotation_id	cc_annotation	cc_annotation_id	kegg_annotation	kegg_annotation_id	mf_annotation	mf_annotation_id
CON__ENSEMBL:ENSBTAP00000024146	CON__ENSEMBL:ENSBTAP00000024146	NA	4	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25194000	+	NA	+	NA	NA;NA;NA;NA;NA	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"
CON__ENSEMBL:ENSP00000377550;CON__P08730-1	CON__ENSEMBL:ENSP00000377550;CON__P08730-1	;	8	3	0	33687000	0	26592000	15657000	0	25533000	33040000	0	0	27457000	0	28221000	0	33001000	0	0	42765000	NA	NA	+	NA	NA;NA;NA;NA;NA	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"
CON__H-INV:HIT000292931	CON__H-INV:HIT000292931	NA	6	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17672000	NA	NA	+	NA	NA;NA;NA;NA;NA	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"
CON__P00761;XP_020934123.1;XP_020934122.1;XP_020934121.1;XP_020934120.1;XP_020934119.1;NP_001156363.1	CON__P00761;XP_020934123.1;XP_020934122.1;XP_020934121.1;XP_020934120.1;XP_020934119.1;NP_001156363.1	; trypsinogen isoform X1 [Sus scrofa]; trypsinogen isoform X1 [Sus scrofa]; trypsinogen isoform X1 [Sus scrofa]; trypsinogen isoform X1 [Sus scrofa]; trypsinogen isoform X1 [Sus scrofa]; trypsinogen precursor [Sus scrofa]	6	6	6	3878100000	3977000000	3199000000	4496600000	3056000000	3914300000	4879900000	4090700000	2857400000	4114600000	3849700000	3717600000	3769700000	2801200000	3961800000	4074100000	5293000000	NA	NA	+	LOC100302368	LOC100302368;LOC100302368;LOC100302368;LOC100302368;LOC100302368	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"
CON__P01030;CON__ENSEMBL:ENSBTAP00000007350	CON__P01030;CON__ENSEMBL:ENSBTAP00000007350	;	4	3	3	0	0	0	0	0	0	0	0	0	22214000	0	0	0	0	0	0	0	NA	NA	+	NA	NA;NA;NA;NA;NA	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"
CON__P01966	CON__P01966	NA	5	1	1	0	0	0	0	0	0	0	0	1498100	0	0	0	0	0	0	0	0	NA	NA	+	NA	NA;NA;NA;NA;NA	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"
CON__P02533;XP_020922661.1;XP_020922659.1;CON__Q6IFX2;CON__Q9QWL7;XP_003483032.1;XP_003483031.1;CON__A2A4G1;CON__Q61782;XP_020921966.1	CON__P02533;XP_020922661.1;XP_020922659.1;CON__Q6IFX2	; keratin, type I cytoskeletal 14-like [Sus scrofa]; keratin, type I cytoskeletal 14 [Sus scrofa];	12	5	4	26166000	27841000	40421000	25659000	17972000	50463000	28989000	36823000	19821000	37435000	22409000	27169000	27786000	32437000	28291000	38718000	58669000	NA	NA	+	LOC110255272	NA;LOC110255272;LOC110255312;NA;NA	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"
CON__P02538;CON__P48668;CON__P04259;XP_013840212.2;CON__O95678;XP_001927280.2;XP_020947339.1;XP_020947338.1;CON__P07744;XP_003355441.3;XP_020947337.1;XP_003355445.3;CON__P19013;CON__H-INV:HIT000016045;CON__REFSEQ:XP_932229;CON__Q9DCV7	CON__P02538;CON__P48668;CON__P04259	;;	17	8	3	25603000	15653000	26198000	16035000	14413000	28439000	10359000	21779000	10682000	22054000	11532000	19685000	18436000	46555000	19152000	27611000	36035000	NA	NA	+	NA	NA;NA;NA;NA;NA	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"
CON__P02662	CON__P02662	NA	1	1	1	0	0	0	0	0	0	0	0	0	1210000	0	0	0	0	0	0	0	NA	NA	+	NA	NA;NA;NA;NA;NA	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"
CON__P02666	CON__P02666	NA	1	1	1	0	0	0	0	0	0	0	0	2051400	0	0	0	0	0	0	0	0	NA	NA	+	NA	NA;NA;NA;NA;NA	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"
CON__P02768-1	CON__P02768-1	NA	5	2	1	0	0	0	0	0	0	0	0	76347000	0	0	0	0	0	0	0	0	NA	NA	+	NA	NA;NA;NA;NA;NA	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"
CON__P04258	CON__P04258	NA	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12316000	NA	NA	+	NA	NA;NA;NA;NA;NA	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"
